                               Open      High       Low     Close  Volume  \
Datetime                                                                    
2024-10-24 06:35:00+01:00  0.601612  0.601612  0.601612  0.601612       0   
2024-10-24 06:37:00+01:00  0.601540  0.601540  0.601540  0.601540       0   
2024-10-24 06:39:00+01:00  0.601612  0.601612  0.601612  0.601612       0   
2024-10-24 06:41:00+01:00  0.601540  0.601540  0.601540  0.601540       0   
2024-10-24 06:43:00+01:00  0.601504  0.601504  0.601504  0.601504       0   
2024-10-24 06:45:00+01:00  0.601468  0.601468  0.601468  0.601468       0   
2024-10-24 06:47:00+01:00  0.601540  0.601540  0.601540  0.601540       0   
2024-10-24 06:49:00+01:00  0.601576  0.601576  0.601576  0.601576       0   
2024-10-24 06:51:00+01:00  0.601649  0.601649  0.601649  0.601649       0   
2024-10-24 06:53:00+01:00  0.601721  0.601721  0.601721  0.601721       0   
2024-10-24 06:55:00+01:00  0.601612  0.601612  0.601612  0.601612       0   
2024-10-24 06:57:00+01:00  0.601685  0.601685  0.601685  0.601685       0   

                           Dividends  Stock Splits  
Datetime                                            
2024-10-18 00:00:00+01:00        0.0           0.0  
2024-10-18 00:02:00+01:00        0.0           0.0  
2024-10-18 00:04:00+01:00        0.0           0.0  
2024-10-18 00:06:00+01:00        0.0           0.0  
2024-10-18 00:08:00+01:00        0.0           0.0  
2024-10-18 00:10:00+01:00        0.0           0.0  
2024-10-18 00:12:00+01:00        0.0           0.0  
2024-10-18 00:14:00+01:00        0.0           0.0  
2024-10-18 00:16:00+01:00        0.0           0.0  
2024-10-18 00:18:00+01:00        0.0           0.0  
2024-10-18 00:20:00+01:00        0.0           0.0  
2024-10-18 00:22:00+01:00        0.0           0.0  
2024-10-18 00:24:00+01:00        0.0           0.0  
2024-10-18 00:26:00+01:00        0.0           0.0  
2024-10-18 00:28:00+01:00        0.0           0.0  
2024-10-18 00:30:00+01:00        0.0           0.0  
2024-10-18 00:32:00+01:00        0.0           0.0  
2024-10-18 00:34:00+01:00        0.0           0.0  
2024-10-18 00:36:00+01:00        0.0           0.0  
2024-10-18 00:38:00+01:00        0.0           0.0  
2024-10-18 00:40:00+01:00        0.0           0.0  
2024-10-18 00:42:00+01:00        0.0           0.0  
2024-10-18 00:44:00+01:00        0.0           0.0  
2024-10-18 00:46:00+01:00        0.0           0.0  
2024-10-18 00:48:00+01:00        0.0           0.0  
2024-10-18 00:50:00+01:00        0.0           0.0  
2024-10-18 00:52:00+01:00        0.0           0.0  
2024-10-18 00:54:00+01:00        0.0           0.0  
2024-10-18 00:56:00+01:00        0.0           0.0  
2024-10-18 00:58:00+01:00        0.0           0.0  
2024-10-18 01:00:00+01:00        0.0           0.0  
2024-10-18 01:02:00+01:00        0.0           0.0  
2024-10-18 01:04:00+01:00        0.0           0.0  
2024-10-18 01:06:00+01:00        0.0           0.0  
2024-10-18 01:08:00+01:00        0.0           0.0  
2024-10-18 01:10:00+01:00        0.0           0.0  
2024-10-18 01:12:00+01:00        0.0           0.0  
2024-10-18 01:14:00+01:00        0.0           0.0  
2024-10-18 01:16:00+01:00        0.0           0.0  
2024-10-18 01:18:00+01:00        0.0           0.0  
2024-10-18 01:20:00+01:00        0.0           0.0  
2024-10-18 01:22:00+01:00        0.0           0.0  
2024-10-18 01:24:00+01:00        0.0           0.0  
2024-10-18 01:26:00+01:00        0.0           0.0  
2024-10-18 01:28:00+01:00        0.0           0.0  
2024-10-18 01:30:00+01:00        0.0           0.0  
2024-10-18 01:32:00+01:00        0.0           0.0  
2024-10-18 01:34:00+01:00        0.0           0.0  
2024-10-18 01:36:00+01:00        0.0           0.0  
2024-10-18 01:38:00+01:00        0.0           0.0  
2024-10-18 01:40:00+01:00        0.0           0.0  
2024-10-18 01:42:00+01:00        0.0           0.0  
2024-10-18 01:44:00+01:00        0.0           0.0  
2024-10-18 01:46:00+01:00        0.0           0.0  
2024-10-18 01:48:00+01:00        0.0           0.0  
2024-10-18 01:50:00+01:00        0.0           0.0  
2024-10-18 01:52:00+01:00        0.0           0.0  
2024-10-18 01:54:00+01:00        0.0           0.0  
2024-10-18 01:56:00+01:00        0.0           0.0  
2024-10-18 01:58:00+01:00        0.0           0.0  
2024-10-18 02:00:00+01:00        0.0           0.0  
2024-10-18 02:02:00+01:00        0.0           0.0  
2024-10-18 02:04:00+01:00        0.0           0.0  
2024-10-18 02:06:00+01:00        0.0           0.0  
2024-10-18 02:08:00+01:00        0.0           0.0  
2024-10-18 02:10:00+01:00        0.0           0.0  
2024-10-18 02:12:00+01:00        0.0           0.0  
2024-10-18 02:14:00+01:00        0.0           0.0  
2024-10-18 02:16:00+01:00        0.0           0.0  
2024-10-18 02:18:00+01:00        0.0           0.0  
2024-10-18 02:20:00+01:00        0.0           0.0  
2024-10-18 02:24:00+01:00        0.0           0.0  
2024-10-18 02:26:00+01:00        0.0           0.0  
2024-10-18 02:28:00+01:00        0.0           0.0  
2024-10-18 02:30:00+01:00        0.0           0.0  
2024-10-18 02:32:00+01:00        0.0           0.0  
2024-10-18 02:34:00+01:00        0.0           0.0  
2024-10-18 02:36:00+01:00        0.0           0.0  
2024-10-18 02:38:00+01:00        0.0           0.0  
2024-10-18 02:40:00+01:00        0.0           0.0  
2024-10-18 02:42:00+01:00        0.0           0.0  
2024-10-18 02:44:00+01:00        0.0           0.0  
2024-10-18 02:46:00+01:00        0.0           0.0  
2024-10-18 02:48:00+01:00        0.0           0.0  
2024-10-18 02:50:00+01:00        0.0           0.0  
2024-10-18 02:52:00+01:00        0.0           0.0  
2024-10-18 02:54:00+01:00        0.0           0.0  
2024-10-18 02:56:00+01:00        0.0           0.0  
2024-10-18 02:58:00+01:00        0.0           0.0  
2024-10-18 03:00:00+01:00        0.0           0.0  
2024-10-18 03:02:00+01:00        0.0           0.0  
2024-10-18 03:04:00+01:00        0.0           0.0  
2024-10-18 03:06:00+01:00        0.0           0.0  
2024-10-18 03:08:00+01:00        0.0           0.0  
2024-10-18 03:10:00+01:00        0.0           0.0  
2024-10-18 03:12:00+01:00        0.0           0.0  
2024-10-18 03:14:00+01:00        0.0           0.0  
2024-10-18 03:16:00+01:00        0.0           0.0  
2024-10-18 03:18:00+01:00        0.0           0.0  
2024-10-18 03:20:00+01:00        0.0           0.0  
2024-10-18 03:22:00+01:00        0.0           0.0  
2024-10-18 03:24:00+01:00        0.0           0.0  
2024-10-18 03:26:00+01:00        0.0           0.0  
2024-10-18 03:28:00+01:00        0.0           0.0  
2024-10-18 03:30:00+01:00        0.0           0.0  
2024-10-18 03:32:00+01:00        0.0           0.0  
2024-10-18 03:34:00+01:00        0.0           0.0  
2024-10-18 03:36:00+01:00        0.0           0.0  
2024-10-18 03:38:00+01:00        0.0           0.0  
2024-10-18 03:40:00+01:00        0.0           0.0  
2024-10-18 03:42:00+01:00        0.0           0.0  
2024-10-18 03:44:00+01:00        0.0           0.0  
2024-10-18 03:46:00+01:00        0.0           0.0  
2024-10-18 03:48:00+01:00        0.0           0.0  
2024-10-18 03:50:00+01:00        0.0           0.0  
2024-10-18 03:52:00+01:00        0.0           0.0  
2024-10-18 03:54:00+01:00        0.0           0.0  
2024-10-18 03:56:00+01:00        0.0           0.0  
2024-10-18 03:58:00+01:00        0.0           0.0  
2024-10-18 04:00:00+01:00        0.0           0.0  
2024-10-18 04:02:00+01:00        0.0           0.0  
2024-10-18 04:04:00+01:00        0.0           0.0  
2024-10-18 04:06:00+01:00        0.0           0.0  
2024-10-18 04:08:00+01:00        0.0           0.0  
2024-10-18 04:10:00+01:00        0.0           0.0  
2024-10-18 04:12:00+01:00        0.0           0.0  
2024-10-18 04:14:00+01:00        0.0           0.0  
2024-10-18 04:16:00+01:00        0.0           0.0  
2024-10-18 04:18:00+01:00        0.0           0.0  
2024-10-18 04:20:00+01:00        0.0           0.0  
2024-10-18 04:22:00+01:00        0.0           0.0  
2024-10-18 04:24:00+01:00        0.0           0.0  
2024-10-18 04:26:00+01:00        0.0           0.0  
2024-10-18 04:28:00+01:00        0.0           0.0  
2024-10-18 04:30:00+01:00        0.0           0.0  
2024-10-18 04:32:00+01:00        0.0           0.0  
2024-10-18 04:34:00+01:00        0.0           0.0  
2024-10-18 04:36:00+01:00        0.0           0.0  
2024-10-18 04:38:00+01:00        0.0           0.0  
2024-10-18 04:40:00+01:00        0.0           0.0  
2024-10-18 04:42:00+01:00        0.0           0.0  
2024-10-18 04:44:00+01:00        0.0           0.0  
2024-10-18 04:46:00+01:00        0.0           0.0  
2024-10-18 04:48:00+01:00        0.0           0.0  
2024-10-18 04:50:00+01:00        0.0           0.0  
2024-10-18 04:52:00+01:00        0.0           0.0  
2024-10-18 04:54:00+01:00        0.0           0.0  
2024-10-18 04:56:00+01:00        0.0           0.0  
2024-10-18 04:58:00+01:00        0.0           0.0  
2024-10-18 05:00:00+01:00        0.0           0.0  
2024-10-18 05:02:00+01:00        0.0           0.0  
2024-10-18 05:04:00+01:00        0.0           0.0  
2024-10-18 05:06:00+01:00        0.0           0.0  
2024-10-18 05:08:00+01:00        0.0           0.0  
2024-10-18 05:10:00+01:00        0.0           0.0  
2024-10-18 05:12:00+01:00        0.0           0.0  
2024-10-18 05:14:00+01:00        0.0           0.0  
2024-10-18 05:16:00+01:00        0.0           0.0  
2024-10-18 05:18:00+01:00        0.0           0.0  
2024-10-18 05:20:00+01:00        0.0           0.0  
2024-10-18 05:22:00+01:00        0.0           0.0  
2024-10-18 05:24:00+01:00        0.0           0.0  
2024-10-18 05:26:00+01:00        0.0           0.0  
2024-10-18 05:28:00+01:00        0.0           0.0  
2024-10-18 05:30:00+01:00        0.0           0.0  
2024-10-18 05:32:00+01:00        0.0           0.0  
2024-10-18 05:34:00+01:00        0.0           0.0  
2024-10-18 05:36:00+01:00        0.0           0.0  
2024-10-18 05:38:00+01:00        0.0           0.0  
2024-10-18 05:40:00+01:00        0.0           0.0  
2024-10-18 05:42:00+01:00        0.0           0.0  
2024-10-18 05:44:00+01:00        0.0           0.0  
2024-10-18 05:46:00+01:00        0.0           0.0  
2024-10-18 05:48:00+01:00        0.0           0.0  
2024-10-18 05:50:00+01:00        0.0           0.0  
2024-10-18 05:52:00+01:00        0.0           0.0  
2024-10-18 05:54:00+01:00        0.0           0.0  
2024-10-18 05:56:00+01:00        0.0           0.0  
2024-10-18 05:58:00+01:00        0.0           0.0  
2024-10-18 06:00:00+01:00        0.0           0.0  
2024-10-18 06:02:00+01:00        0.0           0.0  
2024-10-18 06:04:00+01:00        0.0           0.0  
2024-10-18 06:06:00+01:00        0.0           0.0  
2024-10-18 06:08:00+01:00        0.0           0.0  
2024-10-18 06:10:00+01:00        0.0           0.0  
2024-10-18 06:12:00+01:00        0.0           0.0  
2024-10-18 06:14:00+01:00        0.0           0.0  
2024-10-18 06:16:00+01:00        0.0           0.0  
2024-10-18 06:18:00+01:00        0.0           0.0  
2024-10-18 06:20:00+01:00        0.0           0.0  
2024-10-18 06:22:00+01:00        0.0           0.0  
2024-10-18 06:24:00+01:00        0.0           0.0  
2024-10-18 06:26:00+01:00        0.0           0.0  
2024-10-18 06:28:00+01:00        0.0           0.0  
2024-10-18 06:30:00+01:00        0.0           0.0  
2024-10-18 06:32:00+01:00        0.0           0.0  
2024-10-18 06:34:00+01:00        0.0           0.0  
2024-10-18 06:36:00+01:00        0.0           0.0  
2024-10-18 06:38:00+01:00        0.0           0.0  
2024-10-18 06:40:00+01:00        0.0           0.0  
2024-10-18 06:42:00+01:00        0.0           0.0  
2024-10-18 06:44:00+01:00        0.0           0.0  
2024-10-18 06:46:00+01:00        0.0           0.0  
2024-10-18 06:48:00+01:00        0.0           0.0  
2024-10-18 06:50:00+01:00        0.0           0.0  
2024-10-18 06:52:00+01:00        0.0           0.0  
2024-10-18 06:54:00+01:00        0.0           0.0  
2024-10-18 06:56:00+01:00        0.0           0.0  
2024-10-18 06:58:00+01:00        0.0           0.0  
2024-10-18 07:00:00+01:00        0.0           0.0  
2024-10-18 07:02:00+01:00        0.0           0.0  
2024-10-18 07:06:00+01:00        0.0           0.0  
2024-10-18 07:08:00+01:00        0.0           0.0  
2024-10-18 07:10:00+01:00        0.0           0.0  
2024-10-18 07:12:00+01:00        0.0           0.0  
2024-10-18 07:14:00+01:00        0.0           0.0  
2024-10-18 07:16:00+01:00        0.0           0.0  
2024-10-18 07:18:00+01:00        0.0           0.0  
2024-10-18 07:20:00+01:00        0.0           0.0  
2024-10-18 07:22:00+01:00        0.0           0.0  
2024-10-18 07:24:00+01:00        0.0           0.0  
2024-10-18 07:26:00+01:00        0.0           0.0  
2024-10-18 07:28:00+01:00        0.0           0.0  
2024-10-18 07:30:00+01:00        0.0           0.0  
2024-10-18 07:32:00+01:00        0.0           0.0  
2024-10-18 07:34:00+01:00        0.0           0.0  
2024-10-18 07:36:00+01:00        0.0           0.0  
2024-10-18 07:38:00+01:00        0.0           0.0  
2024-10-18 07:40:00+01:00        0.0           0.0  
2024-10-18 07:42:00+01:00        0.0           0.0  
2024-10-18 07:44:00+01:00        0.0           0.0  
2024-10-18 07:46:00+01:00        0.0           0.0  
2024-10-18 07:48:00+01:00        0.0           0.0  
2024-10-18 07:50:00+01:00        0.0           0.0  
2024-10-18 07:52:00+01:00        0.0           0.0  
2024-10-18 07:54:00+01:00        0.0           0.0  
2024-10-18 07:56:00+01:00        0.0           0.0  
2024-10-18 07:58:00+01:00        0.0           0.0  
2024-10-18 08:00:00+01:00        0.0           0.0  
2024-10-18 08:02:00+01:00        0.0           0.0  
2024-10-18 08:04:00+01:00        0.0           0.0  
2024-10-18 08:06:00+01:00        0.0           0.0  
2024-10-18 08:08:00+01:00        0.0           0.0  
2024-10-18 08:10:00+01:00        0.0           0.0  
2024-10-18 08:12:00+01:00        0.0           0.0  
2024-10-18 08:14:00+01:00        0.0           0.0  
2024-10-18 08:16:00+01:00        0.0           0.0  
2024-10-18 08:18:00+01:00        0.0           0.0  
2024-10-18 08:20:00+01:00        0.0           0.0  
2024-10-18 08:22:00+01:00        0.0           0.0  
2024-10-18 08:24:00+01:00        0.0           0.0  
2024-10-18 08:26:00+01:00        0.0           0.0  
2024-10-18 08:28:00+01:00        0.0           0.0  
2024-10-18 08:30:00+01:00        0.0           0.0  
2024-10-18 08:32:00+01:00        0.0           0.0  
2024-10-18 08:34:00+01:00        0.0           0.0  
2024-10-18 08:36:00+01:00        0.0           0.0  
2024-10-18 08:38:00+01:00        0.0           0.0  
2024-10-18 08:40:00+01:00        0.0           0.0  
2024-10-18 08:42:00+01:00        0.0           0.0  
2024-10-18 08:44:00+01:00        0.0           0.0  
2024-10-18 08:46:00+01:00        0.0           0.0  
2024-10-18 08:48:00+01:00        0.0           0.0  
2024-10-18 08:50:00+01:00        0.0           0.0  
2024-10-18 08:52:00+01:00        0.0           0.0  
2024-10-18 08:54:00+01:00        0.0           0.0  
2024-10-18 08:56:00+01:00        0.0           0.0  
2024-10-18 08:58:00+01:00        0.0           0.0  
2024-10-18 09:00:00+01:00        0.0           0.0  
2024-10-18 09:02:00+01:00        0.0           0.0  
2024-10-18 09:04:00+01:00        0.0           0.0  
2024-10-18 09:06:00+01:00        0.0           0.0  
2024-10-18 09:08:00+01:00        0.0           0.0  
2024-10-18 09:10:00+01:00        0.0           0.0  
2024-10-18 09:12:00+01:00        0.0           0.0  
2024-10-18 09:14:00+01:00        0.0           0.0  
2024-10-18 09:16:00+01:00        0.0           0.0  
2024-10-18 09:18:00+01:00        0.0           0.0  
2024-10-18 09:20:00+01:00        0.0           0.0  
2024-10-18 09:22:00+01:00        0.0           0.0  
2024-10-18 09:24:00+01:00        0.0           0.0  
2024-10-18 09:26:00+01:00        0.0           0.0  
2024-10-18 09:28:00+01:00        0.0           0.0  
2024-10-18 09:30:00+01:00        0.0           0.0  
2024-10-18 09:32:00+01:00        0.0           0.0  
2024-10-18 09:34:00+01:00        0.0           0.0  
2024-10-18 09:36:00+01:00        0.0           0.0  
2024-10-18 09:38:00+01:00        0.0           0.0  
2024-10-18 09:40:00+01:00        0.0           0.0  
2024-10-18 09:42:00+01:00        0.0           0.0  
2024-10-18 09:44:00+01:00        0.0           0.0  
2024-10-18 09:46:00+01:00        0.0           0.0  
2024-10-18 09:48:00+01:00        0.0           0.0  
2024-10-18 09:50:00+01:00        0.0           0.0  
2024-10-18 09:52:00+01:00        0.0           0.0  
2024-10-18 09:54:00+01:00        0.0           0.0  
2024-10-18 09:56:00+01:00        0.0           0.0  
2024-10-18 09:58:00+01:00        0.0           0.0  
2024-10-18 10:00:00+01:00        0.0           0.0  
2024-10-18 10:02:00+01:00        0.0           0.0  
2024-10-18 10:04:00+01:00        0.0           0.0  
2024-10-18 10:06:00+01:00        0.0           0.0  
2024-10-18 10:08:00+01:00        0.0           0.0  
2024-10-18 10:10:00+01:00        0.0           0.0  
2024-10-18 10:12:00+01:00        0.0           0.0  
2024-10-18 10:14:00+01:00        0.0           0.0  
2024-10-18 10:16:00+01:00        0.0           0.0  
2024-10-18 10:18:00+01:00        0.0           0.0  
2024-10-18 10:20:00+01:00        0.0           0.0  
2024-10-18 10:22:00+01:00        0.0           0.0  
2024-10-18 10:24:00+01:00        0.0           0.0  
2024-10-18 10:26:00+01:00        0.0           0.0  
2024-10-18 10:28:00+01:00        0.0           0.0  
2024-10-18 10:30:00+01:00        0.0           0.0  
2024-10-18 10:32:00+01:00        0.0           0.0  
2024-10-18 10:34:00+01:00        0.0           0.0  
2024-10-18 10:36:00+01:00        0.0           0.0  
2024-10-18 10:38:00+01:00        0.0           0.0  
2024-10-18 10:40:00+01:00        0.0           0.0  
2024-10-18 10:42:00+01:00        0.0           0.0  
2024-10-18 10:44:00+01:00        0.0           0.0  
2024-10-18 10:46:00+01:00        0.0           0.0  
2024-10-18 10:48:00+01:00        0.0           0.0  
2024-10-18 10:50:00+01:00        0.0           0.0  
2024-10-18 10:52:00+01:00        0.0           0.0  
2024-10-18 10:54:00+01:00        0.0           0.0  
2024-10-18 10:56:00+01:00        0.0           0.0  
2024-10-18 10:58:00+01:00        0.0           0.0  
2024-10-18 11:00:00+01:00        0.0           0.0  
2024-10-18 11:02:00+01:00        0.0           0.0  
2024-10-18 11:04:00+01:00        0.0           0.0  
2024-10-18 11:06:00+01:00        0.0           0.0  
2024-10-18 11:08:00+01:00        0.0           0.0  
2024-10-18 11:10:00+01:00        0.0           0.0  
2024-10-18 11:12:00+01:00        0.0           0.0  
2024-10-18 11:14:00+01:00        0.0           0.0  
2024-10-18 11:16:00+01:00        0.0           0.0  
2024-10-18 11:18:00+01:00        0.0           0.0  
2024-10-18 11:20:00+01:00        0.0           0.0  
2024-10-18 11:22:00+01:00        0.0           0.0  
2024-10-18 11:24:00+01:00        0.0           0.0  
2024-10-18 11:26:00+01:00        0.0           0.0  
2024-10-18 11:28:00+01:00        0.0           0.0  
2024-10-18 11:30:00+01:00        0.0           0.0  
2024-10-18 11:32:00+01:00        0.0           0.0  
2024-10-18 11:34:00+01:00        0.0           0.0  
2024-10-18 11:36:00+01:00        0.0           0.0  
2024-10-18 11:38:00+01:00        0.0           0.0  
2024-10-18 11:40:00+01:00        0.0           0.0  
2024-10-18 11:42:00+01:00        0.0           0.0  
2024-10-18 11:44:00+01:00        0.0           0.0  
2024-10-18 11:46:00+01:00        0.0           0.0  
2024-10-18 11:48:00+01:00        0.0           0.0  
2024-10-18 11:50:00+01:00        0.0           0.0  
2024-10-18 11:52:00+01:00        0.0           0.0  
2024-10-18 11:54:00+01:00        0.0           0.0  
2024-10-18 11:56:00+01:00        0.0           0.0  
2024-10-18 11:58:00+01:00        0.0           0.0  
2024-10-18 12:00:00+01:00        0.0           0.0  
2024-10-18 12:02:00+01:00        0.0           0.0  
2024-10-18 12:04:00+01:00        0.0           0.0  
2024-10-18 12:06:00+01:00        0.0           0.0  
2024-10-18 12:08:00+01:00        0.0           0.0  
2024-10-18 12:10:00+01:00        0.0           0.0  
2024-10-18 12:12:00+01:00        0.0           0.0  
2024-10-18 12:14:00+01:00        0.0           0.0  
2024-10-18 12:16:00+01:00        0.0           0.0  
2024-10-18 12:18:00+01:00        0.0           0.0  
2024-10-18 12:20:00+01:00        0.0           0.0  
2024-10-18 12:22:00+01:00        0.0           0.0  
2024-10-18 12:24:00+01:00        0.0           0.0  
2024-10-18 12:26:00+01:00        0.0           0.0  
2024-10-18 12:28:00+01:00        0.0           0.0  
2024-10-18 12:30:00+01:00        0.0           0.0  
2024-10-18 12:32:00+01:00        0.0           0.0  
2024-10-18 12:34:00+01:00        0.0           0.0  
2024-10-18 12:36:00+01:00        0.0           0.0  
2024-10-18 12:38:00+01:00        0.0           0.0  
2024-10-18 12:40:00+01:00        0.0           0.0  
2024-10-18 12:42:00+01:00        0.0           0.0  
2024-10-18 12:44:00+01:00        0.0           0.0  
2024-10-18 12:46:00+01:00        0.0           0.0  
2024-10-18 12:48:00+01:00        0.0           0.0  
2024-10-18 12:50:00+01:00        0.0           0.0  
2024-10-18 12:52:00+01:00        0.0           0.0  
2024-10-18 12:54:00+01:00        0.0           0.0  
2024-10-18 12:56:00+01:00        0.0           0.0  
2024-10-18 12:58:00+01:00        0.0           0.0  
2024-10-18 13:00:00+01:00        0.0           0.0  
2024-10-18 13:02:00+01:00        0.0           0.0  
2024-10-18 13:04:00+01:00        0.0           0.0  
2024-10-18 13:06:00+01:00        0.0           0.0  
2024-10-18 13:08:00+01:00        0.0           0.0  
2024-10-18 13:10:00+01:00        0.0           0.0  
2024-10-18 13:12:00+01:00        0.0           0.0  
2024-10-18 13:14:00+01:00        0.0           0.0  
2024-10-18 13:16:00+01:00        0.0           0.0  
2024-10-18 13:18:00+01:00        0.0           0.0  
2024-10-18 13:20:00+01:00        0.0           0.0  
2024-10-18 13:22:00+01:00        0.0           0.0  
2024-10-18 13:24:00+01:00        0.0           0.0  
2024-10-18 13:26:00+01:00        0.0           0.0  
2024-10-18 13:28:00+01:00        0.0           0.0  
2024-10-18 13:30:00+01:00        0.0           0.0  
2024-10-18 13:32:00+01:00        0.0           0.0  
2024-10-18 13:34:00+01:00        0.0           0.0  
2024-10-18 13:36:00+01:00        0.0           0.0  
2024-10-18 13:38:00+01:00        0.0           0.0  
2024-10-18 13:40:00+01:00        0.0           0.0  
2024-10-18 13:42:00+01:00        0.0           0.0  
2024-10-18 13:44:00+01:00        0.0           0.0  
2024-10-18 13:46:00+01:00        0.0           0.0  
2024-10-18 13:48:00+01:00        0.0           0.0  
2024-10-18 13:50:00+01:00        0.0           0.0  
2024-10-18 13:52:00+01:00        0.0           0.0  
2024-10-18 13:54:00+01:00        0.0           0.0  
2024-10-18 13:56:00+01:00        0.0           0.0  
2024-10-18 13:58:00+01:00        0.0           0.0  
2024-10-18 14:00:00+01:00        0.0           0.0  
2024-10-18 14:02:00+01:00        0.0           0.0  
2024-10-18 14:04:00+01:00        0.0           0.0  
2024-10-18 14:06:00+01:00        0.0           0.0  
2024-10-18 14:08:00+01:00        0.0           0.0  
2024-10-18 14:10:00+01:00        0.0           0.0  
2024-10-18 14:12:00+01:00        0.0           0.0  
2024-10-18 14:14:00+01:00        0.0           0.0  
2024-10-18 14:16:00+01:00        0.0           0.0  
2024-10-18 14:18:00+01:00        0.0           0.0  
2024-10-18 14:20:00+01:00        0.0           0.0  
2024-10-18 14:22:00+01:00        0.0           0.0  
2024-10-18 14:24:00+01:00        0.0           0.0  
2024-10-18 14:26:00+01:00        0.0           0.0  
2024-10-18 14:28:00+01:00        0.0           0.0  
2024-10-18 14:30:00+01:00        0.0           0.0  
2024-10-18 14:32:00+01:00        0.0           0.0  
2024-10-18 14:34:00+01:00        0.0           0.0  
2024-10-18 14:36:00+01:00        0.0           0.0  
2024-10-18 14:38:00+01:00        0.0           0.0  
2024-10-18 14:40:00+01:00        0.0           0.0  
2024-10-18 14:42:00+01:00        0.0           0.0  
2024-10-18 14:44:00+01:00        0.0           0.0  
2024-10-18 14:46:00+01:00        0.0           0.0  
2024-10-18 14:48:00+01:00        0.0           0.0  
2024-10-18 14:50:00+01:00        0.0           0.0  
2024-10-18 14:52:00+01:00        0.0           0.0  
2024-10-18 14:54:00+01:00        0.0           0.0  
2024-10-18 14:56:00+01:00        0.0           0.0  
2024-10-18 14:58:00+01:00        0.0           0.0  
2024-10-18 15:00:00+01:00        0.0           0.0  
2024-10-18 15:02:00+01:00        0.0           0.0  
2024-10-18 15:04:00+01:00        0.0           0.0  
2024-10-18 15:06:00+01:00        0.0           0.0  
2024-10-18 15:08:00+01:00        0.0           0.0  
2024-10-18 15:10:00+01:00        0.0           0.0  
2024-10-18 15:12:00+01:00        0.0           0.0  
2024-10-18 15:14:00+01:00        0.0           0.0  
2024-10-18 15:16:00+01:00        0.0           0.0  
2024-10-18 15:18:00+01:00        0.0           0.0  
2024-10-18 15:20:00+01:00        0.0           0.0  
2024-10-18 15:22:00+01:00        0.0           0.0  
2024-10-18 15:24:00+01:00        0.0           0.0  
2024-10-18 15:26:00+01:00        0.0           0.0  
2024-10-18 15:28:00+01:00        0.0           0.0  
2024-10-18 15:30:00+01:00        0.0           0.0  
2024-10-18 15:32:00+01:00        0.0           0.0  
2024-10-18 15:34:00+01:00        0.0           0.0  
2024-10-18 15:36:00+01:00        0.0           0.0  
2024-10-18 15:38:00+01:00        0.0           0.0  
2024-10-18 15:40:00+01:00        0.0           0.0  
2024-10-18 15:42:00+01:00        0.0           0.0  
2024-10-18 15:44:00+01:00        0.0           0.0  
2024-10-18 15:46:00+01:00        0.0           0.0  
2024-10-18 15:48:00+01:00        0.0           0.0  
2024-10-18 15:50:00+01:00        0.0           0.0  
2024-10-18 15:52:00+01:00        0.0           0.0  
2024-10-18 15:54:00+01:00        0.0           0.0  
2024-10-18 15:56:00+01:00        0.0           0.0  
2024-10-18 15:58:00+01:00        0.0           0.0  
2024-10-18 16:00:00+01:00        0.0           0.0  
2024-10-18 16:02:00+01:00        0.0           0.0  
2024-10-18 16:04:00+01:00        0.0           0.0  
2024-10-18 16:06:00+01:00        0.0           0.0  
2024-10-18 16:08:00+01:00        0.0           0.0  
2024-10-18 16:10:00+01:00        0.0           0.0  
2024-10-18 16:12:00+01:00        0.0           0.0  
2024-10-18 16:14:00+01:00        0.0           0.0  
2024-10-18 16:16:00+01:00        0.0           0.0  
2024-10-18 16:18:00+01:00        0.0           0.0  
2024-10-18 16:20:00+01:00        0.0           0.0  
2024-10-18 16:22:00+01:00        0.0           0.0  
2024-10-18 16:24:00+01:00        0.0           0.0  
2024-10-18 16:26:00+01:00        0.0           0.0  
2024-10-18 16:28:00+01:00        0.0           0.0  
2024-10-18 16:30:00+01:00        0.0           0.0  
2024-10-18 16:32:00+01:00        0.0           0.0  
2024-10-18 16:34:00+01:00        0.0           0.0  
2024-10-18 16:36:00+01:00        0.0           0.0  
2024-10-18 16:38:00+01:00        0.0           0.0  
2024-10-18 16:40:00+01:00        0.0           0.0  
2024-10-18 16:42:00+01:00        0.0           0.0  
2024-10-18 16:44:00+01:00        0.0           0.0  
2024-10-18 16:46:00+01:00        0.0           0.0  
2024-10-18 16:48:00+01:00        0.0           0.0  
2024-10-18 16:50:00+01:00        0.0           0.0  
2024-10-18 16:52:00+01:00        0.0           0.0  
2024-10-18 16:54:00+01:00        0.0           0.0  
2024-10-18 16:56:00+01:00        0.0           0.0  
2024-10-18 16:58:00+01:00        0.0           0.0  
2024-10-18 17:00:00+01:00        0.0           0.0  
2024-10-18 17:02:00+01:00        0.0           0.0  
2024-10-18 17:04:00+01:00        0.0           0.0  
2024-10-18 17:06:00+01:00        0.0           0.0  
2024-10-18 17:08:00+01:00        0.0           0.0  
2024-10-18 17:10:00+01:00        0.0           0.0  
2024-10-18 17:12:00+01:00        0.0           0.0  
2024-10-18 17:14:00+01:00        0.0           0.0  
2024-10-18 17:16:00+01:00        0.0           0.0  
